No.,Scheme_Name,Net_Asset_Value,Outstanding_Number_of_ Units,Nav_Per_Unit,Sale_Price_per_Unit,Repurchase_Price/Unit,Date_Valued
9840,Wekeza Maisha Fund,3712575556.58,11627211.44,319.3006,319.3006,312.9146,10-03-2017
9839,Umoja Fund,199755587735.81,413199961.7,483.4356,483.4356,478.6013,10-03-2017
9838,Liquid Fund,11255729243.58,70144809.25,160.4642,160.4642,160.4642,13-03-2017
9837,Jikimu Fund,23805252318.85,191211931.68,124.4967,124.4967,122.0068,13-03-2017
9836,Watoto Fund,3329829686.49,11698626.93,284.6342,284.6342,281.7879,13-03-2017
9835,Wekeza Maisha Fund,3720414355.85,11627135.68,319.9769,319.9769,313.5773,13-03-2017
9834,Umoja Fund,201443565428.03,412685478.87,488.1286,488.1286,483.2473,13-03-2017
9833,Liquid Fund,11291262550.93,70338999.86,160.5263,160.5263,160.5263,14-03-2017
9832,Jikimu Fund,23816613565.77,191247723.79,124.5328,124.5328,122.0421,14-03-2017
9831,Watoto Fund,3334699599.38,11712890.86,284.7034,284.7034,281.8563,14-03-2017
9830,Wekeza Maisha Fund,3721443962.05,11627385.7,320.0585,320.0585,313.6574,14-03-2017
9829,Umoja Fund,201498472603.8,412706143.45,488.2372,488.2372,483.3548,14-03-2017
9828,Liquid Fund,11370239739.5,70803655.68,160.5883,160.5883,160.5883,15-03-2017
9827,Jikimu Fund,23823609588.86,191247723.79,124.5694,124.5694,122.078,15-03-2017
9826,Watoto Fund,3336354431.15,11715504.1,284.7811,284.7811,281.9333,15-03-2017
9825,Wekeza Maisha Fund,3722393503.22,11627385.7,320.1402,320.1402,313.7374,15-03-2017
9824,Umoja Fund,201545995826.09,412711634.18,488.3458,488.3458,483.4623,15-03-2017
9823,Liquid Fund,11414128315.94,71052739.83,160.643,160.643,160.643,16-03-2017
9822,Jikimu Fund,23804957430.76,191047049.71,124.6026,124.6026,122.1105,16-03-2017
9821,Watoto Fund,3333542759.13,11702757.71,284.851,284.851,282.0025,16-03-2017
9820,Wekeza Maisha Fund,3722897441.56,11625993.53,320.2219,320.2219,313.8174,16-03-2017
9819,Umoja Fund,201545995826.09,412711634.18,488.4567,488.4567,483.5721,16-03-2017
9818,Liquid Fund,11543037838.38,71827873.56,160.7042,160.7042,160.7042,17-03-2017
9817,Jikimu Fund,23820986548.47,191120030.62,124.6389,124.6389,122.1461,17-03-2017
9816,Watoto Fund,3335790755.65,11707851.13,284.9191,284.9191,282.0699,17-03-2017
9815,Wekeza Maisha Fund,3725029242.19,11629718.49,320.3026,320.3026,313.8966,17-03-2017
9814,Umoja Fund,201229126735.88,411877536.13,488.5654,488.5654,483.6798,17-03-2017
9813,Liquid Fund,11573808269.64,71936769.29,160.8886,160.8886,160.8886,20-03-2017
9812,Jikimu Fund,23840977724.67,191123199.85,124.7414,124.7414,122.2466,20-03-2017
9811,Watoto Fund,3337988715.48,11707851.13,285.1069,285.1069,282.2558,20-03-2017
9810,Wekeza Maisha Fund,3727547542.26,11629749.72,320.5183,320.5183,314.1079,20-03-2017
9809,Umoja Fund,201399215984.66,411883156.93,488.9717,488.9717,484.082,20-03-2017
9808,Liquid Fund,11563300828.06,71833895.95,160.9728,160.9728,160.9728,21-03-2017
9807,Jikimu Fund,23853825284.67,191129813.76,124.8043,124.8043,122.3082,21-03-2017
9806,Watoto Fund,3338913970.29,11708201.87,285.1773,285.1773,282.3256,21-03-2017
9805,Wekeza Maisha Fund,3728670135.28,11629959.32,320.609,320.609,314.1969,21-03-2017
9804,Umoja Fund,201452985185.3,411891872.69,489.0919,489.0919,484.201,21-03-2017
9803,Liquid Fund,11586707148.97,71952173.51,161.0335,161.0335,161.0335,22-03-2017
9802,Jikimu Fund,23662647566.05,189538462,124.8435,124.8435,122.3466,22-03-2017
9801,Watoto Fund,3338922021.99,11705498.38,285.2439,285.2439,282.3915,22-03-2017
9800,Wekeza Maisha Fund,3727860139.03,11624462.89,320.691,320.691,314.2771,22-03-2017
9799,Wekeza Maisha Fund,3727860139.03,11624462.89,320.691,320.691,314.2771,22-03-2017
9798,Umoja Fund,200982605808.74,410828751.34,489.2126,489.2126,484.3205,22-03-2017
9797,Liquid Fund,11605266534.37,72040353.92,161.094,161.094,161.094,23-03-2017
9796,Liquid Fund,11605266534.37,72040353.92,161.094,161.094,161.094,23-03-2017
9795,Jikimu Fund,23675496826.36,189583817.15,124.8814,124.8814,122.3838,23-03-2017
9794,Jikimu Fund,23675496826.36,189583817.15,124.8814,124.8814,122.3838,23-03-2017
9793,Watoto Fund,3337754363.09,11698480.24,285.3152,285.3152,282.4621,23-03-2017
9792,Watoto Fund,3337754363.09,11698480.24,285.3152,285.3152,282.4621,23-03-2017
9791,Wekeza Maisha Fund,3728807498.18,11624462.89,320.7725,320.7725,314.357,23-03-2017
9790,Wekeza Maisha Fund,3728807498.18,11624462.89,320.7725,320.7725,314.357,23-03-2017
9789,Umoja Fund,201040646635.42,410846409,489.3329,489.3329,484.4395,23-03-2017
9788,Umoja Fund,201040646635.42,410846409,489.3329,489.3329,484.4395,23-03-2017
9787,Liquid Fund,11618572245.68,72096182.3,161.1538,161.1538,161.1538,24-03-2017
9786,Liquid Fund,11618572245.68,72096182.3,161.1538,161.1538,161.1538,24-03-2017
9785,Jikimu Fund,23678788680.91,189553770.49,124.9186,124.9186,122.4202,24-03-2017
9784,Jikimu Fund,23678788680.91,189553770.49,124.9186,124.9186,122.4202,24-03-2017
9783,Watoto Fund,3338875960.79,11699566.94,285.3846,285.3846,282.5307,24-03-2017
9782,Watoto Fund,3338875960.79,11699566.94,285.3846,285.3846,282.5307,24-03-2017
9781,Wekeza Maisha Fund,3731120551.72,11628752.56,320.853,320.853,314.436,24-03-2017
9780,Wekeza Maisha Fund,3731120551.72,11628752.56,320.853,320.853,314.436,24-03-2017
9779,Umoja Fund,201093762240.34,410854411.4,489.4526,489.4526,484.5581,24-03-2017
9778,Umoja Fund,201093762240.34,410854411.4,489.4526,489.4526,484.5581,24-03-2017
9777,Liquid Fund,12065211558.79,74785842.05,161.3302,161.3302,161.3302,27-03-2017
9776,Liquid Fund,12065211558.79,74785842.05,161.3302,161.3302,161.3302,27-03-2017
9775,Jikimu Fund,23699086816.42,189546390.63,125.0305,125.0305,122.5299,27-03-2017
9774,Jikimu Fund,23699086816.42,189546390.63,125.0305,125.0305,122.5299,27-03-2017
9773,Watoto Fund,3343003382.5,11705508.03,285.5923,285.5923,282.7364,27-03-2017
9772,Watoto Fund,3343003382.5,11705508.03,285.5923,285.5923,282.7364,27-03-2017
9771,Wekeza Maisha Fund,3733985440.15,11628923.97,321.0947,321.0947,314.6728,27-03-2017
9770,Wekeza Maisha Fund,3733985440.15,11628923.97,321.0947,321.0947,314.6728,27-03-2017
9769,Umoja Fund,201220002497.12,410809884.99,489.813,489.813,484.9148,27-03-2017
9768,Umoja Fund,201220002497.12,410809884.99,489.813,489.813,484.9148,27-03-2017
9767,Liquid Fund,12245371622.43,75875129.75,161.3885,161.3885,161.3885,28-03-2017
9766,Liquid Fund,12245371622.43,75875129.75,161.3885,161.3885,161.3885,28-03-2017
9765,Jikimu Fund,23703844305.99,189527441.05,125.0681,125.0681,122.5668,28-03-2017
9764,Jikimu Fund,23703844305.99,189527441.05,125.0681,125.0681,122.5668,28-03-2017
9763,Watoto Fund,3344451911.63,11707714.51,285.6622,285.6622,282.8056,28-03-2017
9762,Watoto Fund,3344451911.63,11707714.51,285.6622,285.6622,282.8056,28-03-2017
9761,Wekeza Maisha Fund,3734956235.29,11629256.33,321.169,321.169,314.7456,28-03-2017
9760,Wekeza Maisha Fund,3734956235.29,11629256.33,321.169,321.169,314.7456,28-03-2017
9759,Umoja Fund,201317739940.74,410908326.51,489.9335,489.9335,485.0341,28-03-2017
9758,Umoja Fund,201317739940.74,410908326.51,489.9335,489.9335,485.0341,28-03-2017
9757,Liquid Fund,12222987062.22,75708539.69,161.4479,161.4479,161.4479,29-03-2017
9756,Liquid Fund,12222987062.22,75708539.69,161.4479,161.4479,161.4479,29-03-2017
9755,Jikimu Fund,23581973116.99,188495163.13,125.1065,125.1065,122.6044,29-03-2017
9754,Jikimu Fund,23581973116.99,188495163.13,125.1065,125.1065,122.6044,29-03-2017
9753,Watoto Fund,3342863358.34,11699284.39,285.7323,285.7323,282.875,29-03-2017
9752,Watoto Fund,3342863358.34,11699284.39,285.7323,285.7323,282.875,29-03-2017
9751,Wekeza Maisha Fund,3736830981.61,11632154.2,321.2501,321.2501,314.8251,29-03-2017
9750,Wekeza Maisha Fund,3736830981.61,11632154.2,321.2501,321.2501,314.8251,29-03-2017
9749,Umoja Fund,200809881413.48,409769050,490.0562,490.0562,485.1557,29-03-2017
9748,Umoja Fund,200809881413.48,409769050,490.0562,490.0562,485.1557,29-03-2017
9747,Liquid Fund,12232961570.46,75734230.9,161.5249,161.5249,161.5249,30-03-2017
9746,Liquid Fund,12232961570.46,75734230.9,161.5249,161.5249,161.5249,30-03-2017
9745,Jikimu Fund,23581804672.55,188380061.2,125.1821,125.1821,122.6784,30-03-2017
9744,Jikimu Fund,23581804672.55,188380061.2,125.1821,125.1821,122.6784,30-03-2017
9743,Watoto Fund,3344237344.17,11701226.96,285.8023,285.8023,282.9443,30-03-2017
9742,Watoto Fund,3344237344.17,11701226.96,285.8023,285.8023,282.9443,30-03-2017
9741,Wekeza Maisha Fund,3730050111.68,11608105.85,321.3315,321.3315,314.9049,30-03-2017
9740,Wekeza Maisha Fund,3730050111.68,11608105.85,321.3315,321.3315,314.9049,30-03-2017
9739,Umoja Fund,200913748228.52,409781020.53,490.2954,490.2954,485.3924,30-03-2017
9738,Umoja Fund,200913748228.52,409781020.53,490.2954,490.2954,485.3924,30-03-2017
9737,Liquid Fund,12236337433.15,75734230.9,161.5694,161.5694,161.5694,31-03-2017
9736,Liquid Fund,12236337433.15,75734230.9,161.5694,161.5694,161.5694,31-03-2017
9735,Jikimu Fund,23591056444.73,188396037.92,125.2206,125.2206,122.7161,31-03-2017
9734,Jikimu Fund,23591056444.73,188396037.92,125.2206,125.2206,122.7161,31-03-2017
9733,Watoto Fund,3345366004.55,11702312.02,285.8722,285.8722,283.0135,31-03-2017
9732,Watoto Fund,3345366004.55,11702312.02,285.8722,285.8722,283.0135,31-03-2017
9731,Wekeza Maisha Fund,3731750674.1,11610424.91,321.4138,321.4138,314.9855,31-03-2017
9730,Wekeza Maisha Fund,3731750674.1,11610424.91,321.4138,321.4138,314.9855,31-03-2017
9729,Umoja Fund,200966505834.83,409786653.28,490.4174,490.4174,485.5132,31-03-2017
9728,Umoja Fund,200966505834.83,409786653.28,490.4174,490.4174,485.5132,31-03-2017
9727,Liquid Fund,12248427557.11,75721845.49,161.7555,161.7555,161.7555,03-04-2017
9726,Liquid Fund,12248427557.11,75721845.49,161.7555,161.7555,161.7555,03-04-2017
9725,Jikimu Fund,22999198750.04,187998828.8,122.3369,122.3369,119.8902,03-04-2017
9724,Jikimu Fund,22999198750.04,187998828.8,122.3369,122.3369,119.8902,03-04-2017
9723,Watoto Fund,3347482773.47,11701123.79,286.0822,286.0822,283.2213,03-04-2017
9722,Watoto Fund,3347482773.47,11701123.79,286.0822,286.0822,283.2213,03-04-2017
9721,Wekeza Maisha Fund,3733818882.49,11607940.32,321.6608,321.6608,315.2275,03-04-2017
